own_pending_for_broadcast_,pending_for_delivery_,delivered_,acks_
111,252,2,252
111,252,2,252
111,253,2,253
111,258,2,258
111,242,3,242
111,242,3,242
111,231,2,231
111,231,2,231
111,231,2,231
111,231,2,231
111,233,2,233
111,233,2,233
111,233,2,233
111,233,2,233
111,247,2,247
111,247,2,247
111,247,2,247
111,247,2,247
111,240,0,240
111,244,0,244
111,247,0,247
111,247,0,247
111,248,0,248
111,248,0,248
111,249,0,249
111,249,0,249
111,249,0,249
111,249,0,249
111,250,0,250
111,253,0,253
111,253,0,253
111,253,0,253
111,254,0,254
111,255,0,255
111,255,0,255
111,254,0,254
111,253,0,253
111,248,1,248
111,248,1,248
111,249,1,249
111,249,1,249
111,250,1,250
111,250,2,250
111,261,2,261
111,257,3,257
111,258,3,258
111,234,0,234
111,235,0,235
111,243,0,243
111,237,0,237
111,237,0,237
111,237,0,237
111,238,0,238
111,238,0,238
111,241,0,241
111,247,0,247
111,243,0,243
111,243,0,243
111,244,0,244
111,244,0,244
111,244,0,244
111,245,0,245
111,245,0,245
111,250,0,250
111,251,0,251
111,243,1,243
111,243,1,243
111,243,1,243
111,243,1,243
111,244,1,244
111,258,1,258
111,261,0,261
111,261,0,261
111,261,0,261
111,262,0,262
111,263,0,263
111,259,0,259
111,248,1,248
111,250,1,250
111,249,1,249
111,250,1,250
111,244,1,244
111,244,1,244
111,244,1,244
111,250,1,250
111,230,2,230
111,230,2,230
111,234,3,234
111,208,5,208
111,210,5,210
111,212,5,212
111,204,5,204
111,204,5,204
111,191,3,191
111,194,3,194
111,194,3,194
111,174,0,174
111,175,0,175
111,174,0,174
111,172,0,172
111,172,0,172
111,173,0,173
111,171,0,171
111,173,0,173
111,173,0,173
111,178,0,178
111,179,0,179
111,179,0,179
111,180,0,180
111,174,1,174
111,174,1,174
111,174,1,174
111,174,1,174
111,178,1,178
111,178,1,178
111,184,1,184
111,182,0,182
111,182,0,182
111,182,0,182
111,182,0,182
111,180,0,180
111,180,0,181
111,184,0,184
111,182,0,182
111,178,0,178
111,178,0,178
111,178,0,178
111,174,1,174
111,171,0,171
111,171,0,171
111,165,1,165
111,166,1,166
111,166,1,166
111,166,1,166
111,166,1,166
111,166,1,166
111,168,1,168
111,173,1,173
111,173,1,173
111,173,1,173
111,177,1,177
111,178,1,178
109,171,1,168
109,176,1,176
109,176,1,176
109,176,1,176
109,177,1,177
109,179,2,179
109,179,2,179
109,179,2,179
109,180,2,180
109,180,2,180
109,180,2,180
109,181,2,181
109,177,1,177
109,183,1,183
109,186,1,186
109,187,1,187
109,187,1,187
109,188,1,188
109,189,0,189
109,190,0,190
109,191,0,191
109,191,0,191
109,196,0,196
109,196,0,196
109,198,0,198
109,194,0,194
109,193,0,193
109,194,0,194
109,194,0,194
109,196,0,196
109,197,0,197
109,197,0,197
109,202,0,202
109,202,0,202
109,202,0,202
109,202,0,202
109,202,0,202
109,203,0,203
109,203,0,203
109,203,0,203
109,203,0,203
109,203,0,203
109,203,0,203
109,203,0,203
109,203,0,203
109,203,0,203
109,203,0,203
109,204,0,204
109,203,0,203
109,204,0,204
109,227,0,227
109,227,0,227
109,227,0,227
109,227,0,227
109,227,0,227
109,227,0,228
109,230,0,230
109,231,0,231
109,216,0,216
109,216,0,216
109,216,0,216
109,218,0,218
109,218,0,218
109,219,0,219
109,220,0,220
109,220,0,220
109,220,0,220
109,220,0,220
109,224,0,224
109,225,0,225
109,225,0,225
109,225,0,225
109,227,0,227
109,227,0,227
109,230,0,230
109,230,0,230
109,231,0,231
109,231,0,231
109,231,0,231
109,232,0,232
109,238,0,238
109,229,1,229
109,228,1,228
109,228,1,228
109,232,1,232
109,221,1,221
109,205,2,205
109,205,2,205
109,205,2,205
109,205,2,205
109,189,0,189
109,189,0,189
109,189,0,189
109,194,0,194
109,186,0,186
109,186,0,186
109,186,0,186
109,187,0,187
109,187,0,187
109,187,0,187
109,185,0,185
109,185,0,185
109,185,0,185
109,196,0,196
109,198,0,198
109,198,0,198
109,197,0,197
109,191,0,191
109,183,3,183
109,184,3,184
109,179,0,179
109,178,0,178
109,182,0,182
109,182,0,182
109,182,0,182
109,182,0,182
109,182,0,182
109,189,0,189
109,187,1,187
109,187,1,187
109,187,1,187
109,188,1,188
109,188,1,188
109,188,1,188
109,188,1,188
109,188,1,188
109,191,1,191
109,198,0,198
109,197,0,197
109,198,0,198
109,198,0,198
109,198,0,198
109,199,0,199
109,203,0,203
109,203,0,203
109,203,0,203
109,204,0,204
109,204,0,204
109,204,0,204
109,212,0,212
109,210,0,210
109,210,0,210
109,211,0,211
109,212,0,212
109,219,0,219
109,218,0,218
109,207,0,207
109,207,0,207
109,207,0,207
109,208,0,208
109,208,0,208
109,208,0,208
109,208,0,208
109,208,0,208
109,202,0,202
109,203,0,203
109,200,0,200
109,200,0,200
109,200,0,200
109,200,0,200
109,201,0,201
109,201,0,201
109,201,0,201
109,210,0,210
109,210,0,210
109,210,0,210
109,210,0,210
109,210,0,210
109,221,0,221
109,221,0,221
109,230,0,230
108,221,0,220
108,221,0,221
108,221,0,221
108,221,0,221
108,221,0,221
108,223,0,223
107,218,0,217
107,218,0,218
107,226,0,226
107,224,0,224
107,225,0,225
107,225,0,225
107,225,0,225
107,225,0,225
107,225,0,225
107,232,0,232
107,229,0,229
107,228,1,228
107,228,1,228
107,228,1,228
107,228,1,228
107,228,1,228
107,228,1,228
107,235,1,235
107,235,1,235
107,243,1,243
107,240,0,240
107,240,0,240
107,245,0,245
107,245,0,245
107,242,0,242
107,242,0,242
107,243,0,243
107,243,0,243
107,246,0,246
107,246,0,246
107,250,0,250
107,250,0,250
107,251,0,251
107,251,0,251
107,251,0,251
107,254,0,254
107,254,0,254
107,254,0,254
107,254,0,254
107,254,0,254
107,254,0,254
107,258,0,258
107,258,0,258
107,258,0,258
107,251,0,251
107,247,1,247
107,247,1,247
107,255,1,255
107,255,1,255
107,255,1,255
107,255,1,255
107,258,1,258
107,254,0,254
107,255,0,255
107,262,0,262
107,266,0,266
107,266,0,266
107,267,0,267
107,267,0,267
107,267,0,267
107,268,0,268
107,268,0,268
107,274,0,274
107,275,0,275
107,269,0,269
107,271,0,271
107,271,0,271
107,263,0,263
107,263,0,263
107,263,0,263
107,263,0,263
107,264,0,264
107,264,0,264
107,266,0,266
107,266,0,266
107,265,0,265
107,265,0,265
107,265,0,265
107,265,0,265
107,268,0,268
107,268,0,268
107,269,0,269
107,269,0,269
107,270,0,270
107,270,0,270
107,271,0,271
107,271,0,271
107,271,0,271
107,271,0,271
107,271,0,271
107,276,0,276
107,280,0,280
107,282,0,282
107,287,0,287
107,283,1,283
107,284,1,284
107,284,1,284
107,284,1,284
107,284,1,284
107,284,1,284
107,284,1,284
107,285,1,285
107,293,1,293
107,294,1,294
107,294,1,294
107,294,1,294
107,294,1,294
107,294,1,294
107,294,1,294
107,295,1,295
107,295,1,295
107,296,1,296
107,296,1,296
107,296,1,296
107,297,1,297
107,297,1,297
107,303,1,303
107,302,1,302
107,291,1,291
107,291,1,291
107,291,1,291
107,292,1,292
107,292,1,292
107,295,1,295
107,296,1,296
107,295,1,295
107,296,1,296
107,299,1,299
107,305,1,305
107,305,1,305
107,306,1,306
107,311,1,311
107,305,1,305
107,305,1,305
107,305,1,305
107,309,1,309
107,310,1,310
107,310,1,310
107,310,1,310
107,317,1,317
107,317,1,317
107,317,1,317
107,318,1,318
107,320,1,320
107,320,1,320
107,320,1,320
107,327,1,327
107,334,1,334
107,334,1,334
107,334,1,334
107,335,1,335
107,335,1,335
107,335,1,335
107,348,1,348
107,348,1,348
107,348,1,348
107,348,1,348
107,348,1,348
107,348,1,348
107,348,1,348
107,350,1,350
107,354,1,354
107,354,1,354
107,347,1,347
107,347,1,347
107,347,1,347
107,348,1,348
107,350,1,350
107,350,1,350
107,351,1,351
107,351,1,351
107,351,1,351
107,351,1,351
107,351,1,351
107,361,1,361
107,347,0,347
107,347,0,347
107,348,0,348
107,335,1,335
107,337,1,337
107,331,1,331
107,331,1,331
107,332,1,332
107,332,1,332
107,333,1,333
106,324,2,323
106,315,4,315
106,316,4,316
106,316,4,316
106,317,4,317
105,279,8,278
105,280,8,280
105,255,4,255
105,246,4,246
105,247,4,247
105,241,3,241
105,241,3,241
105,241,3,241
105,241,3,241
105,241,3,241
105,241,3,241
105,241,3,241
105,241,3,241
105,241,3,241
105,241,3,241
105,242,3,242
105,235,5,235
105,236,5,236
105,248,6,248
105,248,6,248
105,248,6,248
105,248,6,248
105,242,3,242
105,244,3,244
105,244,3,244
105,250,3,250
105,251,3,251
105,251,3,251
105,229,2,229
105,213,0,213
105,213,0,213
105,216,0,216
105,214,0,214
105,211,0,211
105,211,0,211
105,211,0,211
105,212,0,212
105,213,0,213
105,211,0,211
105,211,0,211
105,212,0,212
105,215,0,215
105,215,0,215
105,215,0,215
105,216,0,216
105,216,0,216
105,219,0,219
105,220,0,220
105,220,0,220
105,220,0,220
105,221,0,221
105,222,0,222
105,223,0,223
105,221,0,221
105,221,0,221
105,221,0,221
105,221,0,221
105,227,0,227
105,227,0,227
105,227,0,227
105,226,1,226
105,226,1,226
105,229,1,229
105,230,1,230
105,230,1,230
105,230,1,230
105,230,1,230
105,240,1,240
105,227,1,227
105,229,1,229
105,229,1,229
105,230,1,230
105,230,1,230
105,230,1,230
105,232,1,232
105,234,1,234
105,228,1,228
105,228,1,228
105,225,0,225
105,224,1,224
105,224,1,224
105,224,1,224
105,224,1,224
105,230,1,230
105,225,0,225
105,226,0,226
105,224,0,224
105,224,0,224
105,224,0,224
105,224,0,224
105,230,0,230
105,230,0,230
105,238,0,238
105,238,0,238
105,238,0,238
105,239,0,239
105,239,0,239
105,242,0,242
105,238,0,238
105,238,0,238
105,238,0,238
105,242,0,242
105,244,0,244
105,242,0,242
105,243,0,243
105,243,0,243
105,237,0,237
105,232,1,232
105,232,1,232
105,223,6,223
105,218,5,218
105,218,5,218
105,218,5,218
105,218,5,218
105,219,5,219
105,219,5,219
105,219,5,219
105,219,5,219
105,226,5,226
105,211,6,211
105,213,6,213
105,206,3,206
105,207,3,207
105,207,3,207
105,222,3,222
105,222,3,222
105,223,3,223
105,217,3,217
105,217,3,217
105,226,3,226
105,230,3,230
105,221,2,221
105,231,2,231
105,222,1,222
105,223,1,223
105,223,1,223
105,223,1,223
105,223,1,223
105,224,1,224
105,224,1,224
105,226,1,226
105,226,1,226
105,227,1,227
105,231,1,231
105,222,0,222
105,222,0,222
105,222,0,222
105,223,0,223
105,223,0,223
105,223,0,223
105,225,0,225
105,225,0,225
105,225,0,225
105,226,0,226
105,226,0,226
105,229,0,229
105,228,0,228
105,232,0,232
105,232,0,232
105,233,0,233
105,233,0,233
105,234,0,234
105,234,0,234
105,234,0,234
105,234,0,234
105,231,0,231
105,231,0,231
105,228,0,228
105,226,0,226
105,226,0,226
105,226,0,226
105,227,0,227
105,227,0,227
105,227,0,227
105,229,0,229
105,229,0,229
105,225,0,225
105,225,0,225
105,228,0,228
105,229,0,229
105,223,0,223
105,223,0,223
105,224,0,224
105,224,0,224
105,228,0,228
105,228,0,228
105,229,0,229
105,225,0,225
105,222,0,222
105,222,0,222
105,222,0,222
105,223,0,223
105,222,0,222
105,222,0,222
105,223,0,223
104,222,2,221
104,222,2,222
104,222,2,222
104,222,2,222
104,223,2,223
104,223,2,223
104,223,2,223
104,241,2,241
103,232,1,230
103,232,0,232
103,232,0,232
103,232,0,232
103,232,0,232
103,233,0,233
103,233,0,233
103,233,0,233
103,233,0,233
103,233,0,233
103,233,0,233
103,233,0,233
103,233,0,233
103,236,0,236
103,249,0,249
103,246,0,246
103,250,0,250
103,249,2,249
103,247,2,247
103,247,2,247
103,248,2,248
103,248,2,248
103,248,1,248
103,248,1,248
103,249,1,249
103,249,1,249
103,249,1,249
103,250,1,250
103,249,1,249
103,249,1,249
103,249,1,249
103,249,1,249
103,249,1,249
103,249,1,249
103,250,1,250
103,251,1,251
103,247,0,247
103,247,0,247
103,247,0,247
103,247,0,247
103,248,0,248
103,248,0,248
103,248,0,248
103,250,0,250
103,250,0,250
103,250,0,250
103,250,0,250
103,250,0,250
103,251,0,251
103,251,0,251
103,251,0,251
103,262,0,262
103,265,0,265
103,268,0,268
103,263,0,263
103,263,0,263
103,262,0,262
103,262,0,262
103,262,0,262
103,262,0,262
103,262,0,262
103,262,0,262
103,264,0,264
103,264,0,264
103,264,0,264
103,272,0,272
103,272,0,272
103,269,0,269
103,269,0,269
103,262,0,262
103,262,0,262
103,262,0,262
103,263,0,263
103,266,0,266
103,266,0,266
103,261,2,261
103,251,1,251
103,251,1,251
103,251,1,251
103,252,1,252
103,255,1,255
103,251,0,251
103,251,0,251
103,251,0,251
103,253,0,253
103,248,0,248
103,256,0,256
103,235,0,235
103,235,0,235
103,236,0,236
103,236,0,236
103,236,0,236
103,236,0,236
103,236,0,236
103,236,0,236
103,236,0,236
103,237,0,237
103,237,0,237
103,237,0,237
103,237,0,237
103,246,0,246
103,246,0,246
103,246,0,246
103,246,0,246
103,249,0,249
103,250,0,250
103,250,0,250
103,256,0,256
103,256,0,256
103,256,0,256
103,256,0,256
103,264,0,264
103,265,0,265
103,265,0,265
103,277,0,277
103,280,0,280
103,280,0,280
103,280,0,280
103,278,0,278
103,261,0,261
103,261,0,261
103,262,0,262
103,262,0,262
103,262,0,262
103,265,0,265
103,265,0,265
103,253,2,253
103,253,2,253
103,253,2,253
103,254,2,254
103,254,2,254
103,254,2,254
103,254,2,254
103,254,2,254
103,254,2,254
103,254,2,254
103,255,2,255
103,255,2,255
103,261,2,261
103,262,2,262
103,259,1,259
103,260,1,260
103,260,1,260
103,261,1,261
103,267,1,267
103,267,1,267
103,267,1,267
103,263,1,263
103,270,1,270
103,271,1,271
103,272,1,272
103,274,1,274
103,274,1,274
103,274,1,274
103,279,1,279
103,279,1,279
103,281,1,281
103,281,1,281
103,281,1,281
103,281,1,281
103,281,1,281
103,283,1,283
103,274,0,274
103,278,0,278
103,276,1,276
103,278,1,278
103,274,0,274
103,274,0,274
103,274,0,274
103,274,0,274
103,275,0,275
103,275,0,275
103,275,0,275
103,279,0,279
103,275,1,275
103,278,1,278
103,282,1,282
103,282,1,282
103,281,1,281
103,279,1,279
103,279,1,279
103,280,1,280
103,280,1,280
103,288,1,288
103,287,2,287
103,281,5,281
103,278,4,278
103,280,4,280
103,281,4,281
103,282,4,282
103,283,4,283
102,268,5,267
102,269,5,269
